,STORE_KEY,STORE_NUMBER,STORE_NAME,STORE_TYPE_NAME,OPEN_DATE,CLOSE_DATE,CITY_NAME,STATE_CODE,STATE_NAME,TIME_ZONE_NAME,DMA_ID,DMA_NAME,STORE_STATUS,REGION_ID,REGION_NAME,PRIOR_STORE_NUMBER,STORE_LIVE_DATE,STORE_FUNCTIONAL_STATUS,GLOBAL_REGION_STORE_TYPE_NAME,AREA_REGION,DISPATCH_GO_LIVE_DATE,DOOR_DASH_GO_LIVE_DATE,DOOR_DASH_MARKUP_GO_LIVE_DATE,STORE_CONCEPT_NAME,UBER_EATS_MARKUP_DATE
87,14,1704,IL1704,Franchise,2020-06-20,1999-12-31,CHICAGO,IL,Illinois,Central,602.0,CHICAGO,Active,3.0,North,0.0,2020-06-20,Operational,DomesticFranchise,CHICAGO,2020-06-20,2020-06-20,2020-09-27,Original,2021-05-05
88,824,1,TX1,Franchise,1998-04-14,1999-12-31,HIGHLAND VILLAGE,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,0.0,1998-04-14,Operational,DomesticFranchise,DALLAS-FT. WORTH,2019-04-17,2019-04-17,2020-09-27,Original,2022-07-20
89,862,39,IL39,Franchise,2001-11-28,1999-12-31,DECATUR,IL,Illinois,Central,648.0,CHAMPAIGN&SPRNGFLD-DECATUR,Active,3.0,North,0.0,2001-11-28,Operational,DomesticFranchise,CHAMPAIGN&SPRNGFLD-DECATUR,2019-08-28,2019-08-28,2020-09-27,Original,2022-07-20
90,880,57,IL57,Franchise,2002-05-25,1999-12-31,ELMWOOD PARK,IL,Illinois,Central,602.0,CHICAGO,Active,3.0,North,0.0,2002-05-25,Operational,DomesticFranchise,CHICAGO,2017-10-30,2017-10-30,2020-09-27,Original,2002-05-25
91,21,1712,OH1712,Franchise,2020-04-30,1999-12-31,SPRINGDALE,OH,Ohio,Eastern,515.0,CINCINNATI,Active,3.0,North,0.0,2020-04-30,Operational,DomesticFranchise,CINCINNATI,2020-04-30,2020-04-30,2020-09-27,Original,2022-07-20
92,27,1718,MI1718,Franchise,2020-06-04,1999-12-31,WOODHAVEN,MI,Michigan,Eastern,505.0,DETROIT,Active,3.0,North,0.0,2020-06-04,Operational,DomesticFranchise,DETROIT,2020-06-05,2020-06-11,2020-09-27,Original,2022-07-20
93,41,1732,NM1732,Franchise,2020-12-26,1999-12-31,BERNALILLO,NM,New Mexico,Mountain,790.0,ALBUQUERQUE-SANTA FE,Active,1.0,Southwest,0.0,2020-12-26,Operational,DomesticFranchise,ALBUQUERQUE-SANTA FE,2020-12-26,,2020-12-28,Original,2022-07-20
94,916,93,TX93,Franchise,2003-01-29,1999-12-31,TEXARKANA,TX,Texas,Central,612.0,SHREVEPORT,Active,2.0,Southeast,0.0,2003-01-29,Operational,DomesticFranchise,SHREVEPORT,2019-12-11,2019-12-11,2020-09-27,Original,2022-07-20
95,45,1736,CO1736,Franchise,2020-08-03,1999-12-31,PARKER,CO,Colorado,Mountain,751.0,DENVER,Active,4.0,West,0.0,2020-08-03,Operational,DomesticFranchise,DENVER,2020-08-03,2020-08-03,2020-09-27,Original,2022-07-20
96,51,1742,IL1742,Franchise,2020-07-20,1999-12-31,HOFFMAN ESTATES,IL,Illinois,Central,602.0,CHICAGO,Active,3.0,North,0.0,2020-07-20,Operational,DomesticFranchise,CHICAGO,2020-07-20,2020-07-20,2020-09-27,Original,2022-07-20
97,60,1751,AZ1751,Franchise,2020-11-11,1999-12-31,TOLLESON,AZ,Arizona,Eastern,753.0,PHOENIX (PRESCOTT),Active,1.0,Southwest,0.0,2020-11-11,Operational,DomesticFranchise,PHOENIX (PRESCOTT),2020-11-11,2020-11-11,2020-11-11,Original,2022-07-20
98,937,114,TX114,Franchise,2003-08-12,1999-12-31,HOUSTON,TX,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,0.0,2003-08-12,Operational,DomesticFranchise,HOUSTON,2018-11-28,2018-11-28,2020-09-27,Original,2022-07-20
99,73,1764,IL1764,Franchise,2020-09-07,1999-12-31,OAK LAWN,IL,Illinois,Eastern,602.0,CHICAGO,Active,3.0,North,0.0,2020-09-07,Operational,DomesticFranchise,CHICAGO,2020-09-07,2020-09-09,2020-09-27,Original,2021-04-21
100,78,1769,MI1769,Franchise,2020-09-02,1999-12-31,DEARBORN,MI,Michigan,Eastern,505.0,DETROIT,Active,3.0,North,0.0,2020-09-02,Operational,DomesticFranchise,DETROIT,2020-09-04,2020-09-04,2020-09-27,Original,2022-07-20
101,79,1770,IL1770,Franchise,2020-10-19,1999-12-31,GLEN ELLYN,IL,Illinois,Central,602.0,CHICAGO,Active,3.0,North,0.0,2020-10-19,Operational,DomesticFranchise,CHICAGO,2020-10-19,2020-10-22,2020-10-22,Original,2022-07-20
102,83,1774,IL1774,Franchise,2020-10-19,1999-12-31,DANVILLE,IL,Illinois,Eastern,648.0,CHAMPAIGN&SPRNGFLD-DECATUR,Active,3.0,North,0.0,2020-10-19,Operational,DomesticFranchise,CHAMPAIGN&SPRNGFLD-DECATUR,2020-10-19,2020-10-22,2020-10-22,Original,2020-10-19
103,84,1775,CA1775,Franchise,2020-08-28,1999-12-31,BUELLTON,CA,California,Pacific,855.0,SANTABARBRA-SANMAR-SANLUOB,Active,4.0,West,0.0,2020-08-28,Operational,DomesticFranchise,SANTABARBRA-SANMAR-SANLUOB,2020-10-29,2020-10-29,2020-09-27,Original,2021-05-26
104,86,1777,AZ1777,Franchise,2020-12-26,1999-12-31,PHOENIX,AZ,Arizona,Mountain,753.0,PHOENIX (PRESCOTT),Active,1.0,Southwest,0.0,2020-12-26,Operational,DomesticFranchise,PHOENIX (PRESCOTT),2020-12-26,2020-12-27,2020-12-26,Original,2022-07-20
105,93,1784,OH1784,Franchise,2020-11-05,1999-12-31,SPRINGFIELD,OH,Ohio,Eastern,542.0,DAYTON,Active,3.0,North,0.0,2020-11-05,Operational,DomesticFranchise,DAYTON,2020-11-06,2020-11-06,2020-11-05,Original,2020-11-05
106,826,3,TX3,Franchise,1998-07-04,1999-12-31,GARLAND,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,0.0,1998-07-04,Operational,DomesticFranchise,DALLAS-FT. WORTH,2019-04-17,2019-04-17,2020-09-27,Original,2022-07-06
107,832,9,TX9,Franchise,1999-04-17,1999-12-31,DALLAS,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,0.0,1999-04-17,Operational,DomesticFranchise,DALLAS-FT. WORTH,2019-04-17,2019-04-17,2020-09-27,Original,2022-07-06
108,36,1727,TX1727,Franchise,2020-11-29,1999-12-31,CHANNELVIEW,TX,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,0.0,2020-11-29,Operational,DomesticFranchise,HOUSTON,2020-11-29,2020-11-29,2020-11-29,Original,2022-07-06
109,914,91,TX91,Franchise,2003-01-25,1999-12-31,HOUSTON,TX,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,0.0,2003-01-25,Operational,DomesticFranchise,HOUSTON,2018-12-05,2018-12-05,2020-09-27,Original,2022-07-20
110,920,97,MO97,Franchise,2003-02-11,1999-12-31,FLORISSANT,MO,Missouri,Central,609.0,ST. LOUIS,Active,3.0,North,0.0,2003-02-11,Operational,DomesticFranchise,ST. LOUIS,2019-08-28,2019-08-28,2020-09-27,Original,2022-07-06
111,91,1782,FL1782,Franchise,2020-08-03,1999-12-31,JACKSONVILLE,FL,Florida,Eastern,561.0,JACKSONVILLE,Active,2.0,Southeast,0.0,2020-08-03,Operational,DomesticFranchise,JACKSONVILLE,2020-08-03,2020-08-03,2020-09-27,Original,2022-07-20
112,831,8,TX8,Corporate,1999-01-09,1999-12-31,CARROLLTON,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,0.0,1999-01-09,Operational,DomesticCorporate,DALLAS-FT. WORTH,2019-04-17,2019-04-17,2020-09-27,Original,2022-07-06
113,866,43,MO43,Franchise,2002-01-05,1999-12-31,SPRINGFIELD,MO,Missouri,Central,619.0,"SPRINGFIELD, MO",Active,3.0,North,0.0,2002-01-05,Operational,DomesticFranchise,"SPRINGFIELD, MO",2019-08-28,2019-08-28,2020-09-27,Original,2022-07-20
114,69,1760,NY1760,Franchise,2020-10-27,1999-12-31,BRONX,NY,New York,Eastern,501.0,NEW YORK,Active,3.0,North,0.0,2020-10-27,Operational,DomesticFranchise,NEW YORK,2020-10-27,2020-10-27,2020-10-27,Original,2021-05-12
115,96,1787,NJ1787,Franchise,2020-12-23,1999-12-31,NEPTUNE CITY,NJ,New Jersey,Eastern,501.0,NEW YORK,Active,3.0,North,0.0,2020-12-23,Operational,DomesticFranchise,NEW YORK,2020-12-23,2020-12-23,2020-12-23,Original,2021-05-26
116,830,7,TX7,Franchise,1998-11-14,2019-08-21,ARLINGTON,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Inactive,1.0,Southwest,0.0,1998-11-14,Transfer,DomesticFranchise,DALLAS-FT. WORTH,,,1998-11-14,Original,1998-11-14
117,833,10,TX10,Franchise,1999-05-08,2018-02-18,ARLINGTON,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Inactive,1.0,Southwest,0.0,1999-05-08,Transfer,DomesticFranchise,DALLAS-FT. WORTH,,,1999-05-08,Original,1999-05-08
118,963,140,TX140,Franchise,2003-12-09,2017-07-15,MESQUITE,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Inactive,1.0,Southwest,0.0,2003-12-09,Transfer,DomesticFranchise,DALLAS-FT. WORTH,,,2003-12-09,Original,2003-12-09
119,840,17,TX17,Franchise,2000-04-15,2008-03-28,RICHARDSON,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Inactive,1.0,Southwest,0.0,2000-04-15,Transfer,DomesticFranchise,DALLAS-FT. WORTH,,,2000-04-15,Original,2000-04-15
120,843,20,GA20,Franchise,2000-12-16,2010-12-14,NORCROSS,GA,Georgia,Eastern,524.0,ATLANTA,Inactive,2.0,Southeast,0.0,2000-12-16,Closed,DomesticFranchise,ATLANTA,,,2000-12-16,Original,2000-12-16
121,844,21,TX21,Franchise,2001-04-04,2007-05-26,DALLAS,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Inactive,1.0,Southwest,0.0,2001-04-04,Transfer,DomesticFranchise,DALLAS-FT. WORTH,,,2001-04-04,Original,2001-04-04
122,864,41,TX41,Franchise,2001-11-29,2007-12-28,FORT WORTH,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Inactive,1.0,Southwest,0.0,2001-11-29,Transfer,DomesticFranchise,DALLAS-FT. WORTH,,,2001-11-29,Original,2001-11-29
123,888,65,NV65,Franchise,2002-07-31,2006-10-16,LAS VEGAS,NV,Nevada,Pacific,839.0,LAS VEGAS,Inactive,4.0,West,0.0,2002-07-31,Closed,DomesticFranchise,LAS VEGAS,,,2002-07-31,Original,2002-07-31
